Date,Open,High,Low,Close,Adj Close,Volume
06-05-2017,121.9,121.9,121.6,121.7,121.7,3979200
06-06-2017,123.1,123.3,122.8,123.1,123.1,10798500
06-07-2017,122.8,123.2,122,122.4,122.4,9039200
06-08-2017,122.1,122.1,120.9,121.7,121.7,8169800
06-09-2017,120.5,120.9,120.4,120.5,120.5,7054700
06-12-2017,120.3,120.7,120.3,120.4,120.4,4927400
07-03-2017,116.5,116.8,115.9,116.1,116.1,12145000
07-05-2017,115.9,116.7,115.9,116.5,116.5,7223300
07-06-2017,116.6,116.6,116.2,116.5,116.5,4443400
07-07-2017,115.8,115.8,114.8,115.3,115.3,11153600
07-10-2017,115,115.6,114.8,115.5,115.5,4970900
07-11-2017,115.3,115.8,114.9,115.6,115.6,6637900
07-12-2017,116.2,116.3,115.9,116,116,4654400
08-01-2017,120.4,121.1,120.4,120.7,120.7,7365100
08-02-2017,120.5,121,120.3,120.4,120.4,5945300
08-03-2017,120.3,120.8,120.3,120.6,120.6,4275600
08-04-2017,120,120,119.2,119.7,119.7,8644800
08-07-2017,119.4,119.8,119.4,119.5,119.5,3010100
08-08-2017,120,120.1,119,119.9,119.9,7227200
08-09-2017,121,121.6,120.8,121.3,121.3,9186200
08-10-2017,122.1,122.4,122,122.2,122.2,9817900
08-11-2017,122.2,122.8,122,122.8,122.8,8019500
09-01-2017,126,126.2,125.1,126.1,126.1,11567400
09-05-2017,126.7,127.8,126.6,127.5,127.5,11813100
09-06-2017,127.3,127.4,126.6,126.8,126.8,10059300
09-07-2017,127.6,128.3,127.4,128.1,128.1,10219700
09-08-2017,128.2,128.3,127.6,128,128,9020000
09-11-2017,126.7,126.9,126.1,126.2,126.2,9126600
09-12-2017,126,126.6,125.9,126.6,126.6,8349000
10-02-2017,121.2,121.3,120.7,120.8,120.8,11755400
10-03-2017,120.7,121.1,120.7,120.8,120.8,3728700
10-04-2017,121.2,121.3,120.7,121.2,121.2,6475200
10-05-2017,121.2,121.2,120.4,120.5,120.5,6205400
10-06-2017,120.3,121.2,119.8,121.1,121.1,10013300
10-09-2017,121.6,122.1,121.6,122.1,122.1,5264100
10-10-2017,122.6,123,122.4,122.4,122.4,9315500
10-11-2017,122.6,122.9,122,122.8,122.8,5649400
10-12-2017,122.8,123,122.5,122.9,122.9,3037600
11-01-2017,121,121.6,120.8,121.1,121.1,4647800
11-02-2017,121.3,122,121.1,121.2,121.2,5369500
11-03-2017,121.4,121.4,120.2,120.6,120.6,6330600
11-06-2017,120.7,121.8,120.7,121.7,121.7,6953800
11-07-2017,121.5,121.6,120.8,121.2,121.2,4165900
11-08-2017,121.9,122.3,121.6,121.6,121.6,5565200
11-09-2017,121.8,122.4,121.7,122.1,122.1,6072400
11-10-2017,122,122.1,120.9,121.1,121.1,7116200
12-01-2017,120.9,122.4,120.7,121.6,121.6,13080100
12-04-2017,121.2,121.2,120.8,121.2,121.2,6943700
12-05-2017,120.1,120.5,119.7,120.3,120.3,10041200
12-06-2017,120,120.4,119.9,120.1,120.1,6643000
12-07-2017,119,119.2,118.1,118.5,118.5,12900200
12-08-2017,118.5,118.9,118.3,118.5,118.5,5231300
12-11-2017,118.4,118.5,117.8,118,118,4522200
12-12-2017,117.7,118.2,117.4,118.2,118.2,8020100
01-02-2018,124.7,125.2,124.4,125.2,125.2,11762500
01-03-2018,125.1,125.1,124.1,124.8,124.8,7904300
01-04-2018,124.9,125.8,124.7,125.5,125.5,7329700
01-05-2018,124.9,125.5,124.8,125.3,125.3,5739900
01-08-2018,125.2,125.3,124.9,125.3,125.3,3566700
01-09-2018,124.5,124.9,124.2,124.7,124.7,9153600
01-10-2018,125.2,125.3,124.7,125,125,14809300
01-11-2018,125.4,125.7,125.3,125.4,125.4,5994700
01-12-2018,126,127.1,125.8,127,127,9258600
02-01-2018,127.2,128.1,127.1,128.1,128.1,10854600
02-02-2018,126.8,126.8,126,126.4,126.4,16789200
02-05-2018,126.8,127.3,126.4,126.7,126.7,13596300
02-06-2018,126.5,126.6,125.2,125.4,125.4,17672500
02-07-2018,125.5,125.8,124.4,124.8,124.8,8558500
02-08-2018,124.9,125.4,124.5,125,125,7343600
02-09-2018,124.7,125.1,124.4,124.8,124.8,14140700
02-12-2018,125.2,125.8,125.1,125.4,125.4,6984900
03-01-2018,124.2,125.3,123.6,124.7,124.7,12910100
03-02-2018,125.7,125.7,125,125.4,125.4,9994300
03-05-2018,125.3,125.5,125,125.2,125.2,5778300
03-06-2018,126.2,127,126.1,126.5,126.5,8676800
03-07-2018,126.2,126.3,125.4,125.7,125.7,5158700
03-08-2018,125.7,125.7,125.1,125.4,125.4,3474900
03-09-2018,124.9,125.7,124.8,125.5,125.5,5066800
03-12-2018,125,125.6,124.8,125.5,125.5,2884300
04-02-2018,126.7,127.5,126.4,127.3,127.3,11421100
04-03-2018,126.5,126.6,126,126.3,126.3,6083700
04-04-2018,127.5,127.5,126.3,126.4,126.4,7488300
04-05-2018,125.4,126.1,125.4,125.8,125.8,5333000
04-06-2018,126.6,126.6,126.1,126.4,126.4,6121200
04-09-2018,126.4,126.9,126.2,126.8,126.8,4189900
04-10-2018,127,127.3,126.7,127.1,127.1,5268800
04-11-2018,128.1,129.5,127.8,128.1,128.1,12348600
04-12-2018,127.3,127.3,126.5,126.6,126.6,8141300
05-01-2018,123.9,124,123.4,123.7,123.7,7551600
05-02-2018,123.9,124.5,123.6,123.7,123.7,7614000
05-03-2018,124.7,124.8,124.2,124.3,124.3,4857400
05-04-2018,124.1,124.7,124,124.5,124.5,5883600
05-07-2018,124.5,124.7,124.3,124.6,124.6,3397500
05-08-2018,124.1,124.9,123.8,124.6,124.6,5551100
05-09-2018,124.4,124.9,124.2,124.3,124.3,4405600
05-10-2018,125.2,125.4,124.8,125.2,125.2,5218400
05-11-2018,125.6,125.6,124.9,125,125,4299200
06-01-2018,122.6,123.1,122.4,122.5,122.5,8059100
06-04-2018,122.8,122.9,122.4,122.4,122.4,4345400
06-05-2018,122.6,123.2,122.3,122.8,122.8,6864200
06-06-2018,123.1,123.3,122.6,122.9,122.9,4083700
06-07-2018,123,123.2,122.7,122.9,122.9,3700700
06-08-2018,123.1,123.1,122.9,123,123,3865700
06-11-2018,123.1,123.4,123,123.2,123.2,3201200
06-12-2018,122.9,123.2,122.6,122.8,122.8,7279600
07-02-2018,118.2,118.2,117.4,117.5,117.5,12021900
07-03-2018,118.4,119.1,118.4,118.7,118.7,8901000
07-05-2018,118.9,119.3,118.8,119.1,119.1,4951900
07-06-2018,119,119,118.7,118.9,118.9,2946900
07-09-2018,119.7,119.7,119.1,119.2,119.2,4074900
07-10-2018,118.9,119,118.6,118.9,118.9,3754800
07-11-2018,118.4,118.5,117.6,117.6,117.6,6974500
07-12-2018,118,118.3,117.9,118.1,118.1,4585300
08-01-2018,115.6,115.7,115.1,115.1,115.1,7941700
08-02-2018,115.2,115.2,114.4,114.5,114.5,6204200
08-03-2018,115.1,115.5,114.9,114.9,114.9,5953200
08-06-2018,114.6,114.7,114.3,114.3,114.3,5811600
08-07-2018,114.8,114.9,114.4,114.6,114.6,5188000
08-08-2018,114.8,114.9,114.4,114.9,114.9,3808000
08-09-2018,115,115.1,114.7,114.7,114.7,4253000
08-10-2018,114.8,115.2,114.6,114.7,114.7,6757900
09-04-2018,112.8,113.1,112.6,112.9,112.9,6617500
09-05-2018,113.4,113.4,113.1,113.3,113.3,4459200
09-06-2018,113.9,114.3,113.3,113.5,113.5,4784700
09-07-2018,113.3,113.6,113,113.2,113.2,3714000
09-10-2018,113.3,113.4,113,113.2,113.2,2316500
09-11-2018,112.7,113.4,112.4,113.2,113.2,3791300
09-12-2018,113.1,114.4,113.1,114.2,114.2,6315900
10-01-2018,112.4,112.6,112.2,112.6,112.6,3892600
10-02-2018,113.7,114.3,113.6,113.9,113.9,10776700
10-03-2018,113.9,114.1,113.3,113.4,113.4,6674500
10-04-2018,113.8,114.2,113.3,113.5,113.5,6616200
10-05-2018,113.8,114.1,113.6,113.8,113.8,7994400
10-08-2018,112.3,112.6,111.9,112.5,112.5,12111600
10-09-2018,112.4,112.7,112,112.6,112.6,8352300
10-10-2018,112.5,113,112.3,112.9,112.9,10571300
10-11-2018,114.2,116,114.1,115.8,115.8,26810900
10-12-2018,115.6,115.7,115.1,115.2,115.2,12939300
11-01-2018,116.3,117.1,116.2,116.6,116.6,13662900
11-02-2018,116.6,117,116.4,116.7,116.7,8796900
11-05-2018,116.3,116.7,116.2,116.4,116.4,6291500
11-06-2018,116.4,116.5,115.7,116,116,7270800
11-07-2018,116.3,116.3,115.9,116,116,8392100
11-08-2018,115.8,116.2,115.5,115.8,115.8,7638800
11-09-2018,114.6,114.8,114.1,114.5,114.5,14159200
11-12-2018,114,114.1,113.6,113.7,113.7,7498600
12-03-2018,116.6,116.8,116.3,116.4,116.4,8469500
12-04-2018,117.4,117.4,116.9,117.1,117.1,7186100
12-06-2018,117.4,117.7,116.9,117.1,117.1,9267600
12-07-2018,117.6,118.2,117.5,118.1,118.1,10402900
12-10-2018,117.7,117.9,117.4,117.7,117.7,8117900
12-11-2018,117.7,117.9,117.3,117.5,117.5,6395400
12-12-2018,117.7,117.9,117.6,117.8,117.8,4136800
01-02-2019,121.3,121.8,120.9,121.3,121.3,12776200
01-03-2019,121.8,122.5,121.7,122.4,122.4,15440800
01-04-2019,121.3,121.6,120.7,121.4,121.4,13334000
01-07-2019,122.2,122.2,121.6,121.9,121.9,7473600
01-08-2019,121.2,121.7,121.1,121.5,121.5,7643100
01-09-2019,121.4,122.3,121.4,122.3,122.3,10555900
01-10-2019,122,122.2,121.6,121.6,121.6,6672000
01-11-2019,121.7,122.1,121.7,121.8,121.8,8622400
02-01-2019,124.9,125.1,124.4,124.5,124.5,12485500
02-04-2019,124,124.3,123.8,124,124,6878900
02-05-2019,124.3,124.4,124.1,124.3,124.3,6291100
02-06-2019,124.2,124.2,123.4,123.4,123.4,6595100
02-07-2019,123.8,123.9,123.4,123.7,123.7,5935500
02-08-2019,124.1,124.3,124,124.2,124.2,4235200
02-11-2019,123.2,123.8,123.2,123.6,123.6,4821800
02-12-2019,124,124,123.6,123.9,123.9,4271900
03-01-2019,123.5,124,121.9,121.9,121.9,16411700
03-04-2019,121.6,121.8,121.2,121.6,121.6,10272600
03-05-2019,121.4,121.7,121,121.7,121.7,7120100
03-06-2019,121.4,121.6,121.3,121.6,121.6,4820400
03-07-2019,121.3,121.7,121.2,121.5,121.5,6088800
03-08-2019,122.7,122.9,122.4,122.8,122.8,10427700
03-11-2019,122.5,122.5,121.9,122.2,122.2,6708700
03-12-2019,122.5,123,122.4,123,123,6289900
